"personLabel"
"F. A. Mitchell-Hedges"
"Nathaniel Portlock"
"Pedro de Alberni"
"William Gordon Burn Murdoch"
"William Lobb"
"Rupert Michell"
"David Sharp"
"Robert Swan"
"David Fairchild"
"Ovshe Norzunov"
"James Drummond"
"Eugene Schuyler"
"William Henry Brewer"
"Artur Chilingarov"
"Chauncey Beadle"
"Percy Sykes"
"Sven Berggren"
"Rafael Perestrello"
"Ian Brooker"
"Yuranigh"
"Afonso Gonçalves de Antona Baldaya"
"John King Davis"
"Yasujirō Yajima"
"John Kirk Townsend"
"Laurence Waddell"
"Simone Melchior"
"Johannes van der Kemp"
"Maes Titianus"
"Henry Hurd Rusby"
"John Cunningham"
"Christen Friis Rottbøll"
"Svante Samuel Murbeck"
"Jerónimo Luis de Cabrera"
"Jacob Cornelisz. van Neck"
"Benedetto I Zaccaria"
"Fyodor Matisen"
"Ivan Anikeyev"
"Rodrigo de Vivero y Aberrucia"
"William Colenso"
"Anastasio Alfaro"
"Hastein"
"Ludwig von Hagemeister"
"Samuel Washington Woodhouse"
"Susanna Carson Rijnhart"
"Pyotr Krenitsyn"
"Anagumang"
"Felipe de Neve"
"Ivan Mushketov"
"Albert Berg"
"Albert Bodard"
"A. B. Rogers"
"Aleksander Czekanowski"
"Alexander Gerard"
"François Levaillant"
"Alfred Allatson Turner"
"Ekai Kawaguchi"
"Johann Anton Schmidt"
"Alphonse van Gele"
"Anne Dal Vera"
"Antony Gooszen"
"George Edward Post"
"Jan Jansz. Weltevree"
"Lourenço de Almeida"
"Frederick Manson Bailey"
"Jan Prosper Witkiewicz"
"François Pouqueville"
"Ferdinand van Olmen"
"Alexander Bulatovich"
"Francisco de Montejo"
"Robert Jacob Gordon"
"Anton Willem Nieuwenhuis"
"Bassett Maguire"
"Georg Wegener"
"Domingo de Vera"
"Georg Carl Amdrup"
"Henri de Tonti"
"Snæbjörn Galti"
"Stephen Harriman Long"
"Joan Crespí"
"Christopher Middleton"
"Finn Malmgren"
"Gaspar de Carvajal"
"Mem de Sá"
"Tomé Pires"
"Juan Vicente de Güemes, 2nd Count of Revillagigedo"
"John Warby"
"Amédée-François Frézier"
"Francisco de Carvajal"
"Cornelius Jacobsen May"
"Fortún Ximénez"
"Joe Juneau"
"Martin Johnson"
"Léon Rom"
"Louis-Armand de Lom d'Arce de Lahontan, Baron de Lahontan"
"John Rymill"
"Robert Bartlett"
"Pedro de Medina"
"Gaspar da Gama"
"Kári Sölmundarson"
"Jacob Quaeckernaeck"
"Albert d'Orville"
"Juan de Lángara"
"Porter Peter Lowry"
"Hermenegildo Capelo"
"Reginald W. James"
"Douwe Casparus van Dam"
"Gombojab Tsybikov"
"Gustaaf Adolf Frederik Molengraaff"
"Dudley C. Haskell"
"Hotu Matu'a"
"Josef Chavanne"
"Henri Moser"
"John Strong"
"Eugène Bourgeau"
"William Wright Smith"
"Ed Stafford"
"Eugène Flandin"
"Jean de Thévenot"
"Edmond Doutté"
"Edmund Musgrave Barttelot"
