"personLabel"
"Juan de Esquivel"
"Manuel Iradier y Bulfy"
"Xu Xiake"
"Alonso Fernández de Lugo"
"Albert Kellogg"
"Henry Seebohm"
"Thomas James"
"Juan González de Mendoza"
"Estevanico"
"Robin Knox-Johnston"
"Joris van Spilbergen"
"Alonso de Alvarado"
"Eugène Mage"
"Eugène de Pruyssenaere"
"Gonzalo de Sandoval"
"James Beckwourth"
"Jean-Michel Cousteau"
"Jameson Adams"
"Hernando Arias de Saavedra"
"Sebastián de Ocampo"
"Melchor Díaz"
"Grigori Nelyubov"
"Grigory Potanin"
"Pyotr Kozlov"
"Pierre Amédée Jaubert"
"William Henry Harvey"
"Harry McNish"
"John Clipperton"
"William Trelease"
"Pedro de Ursúa"
"Francisco de Ibarra"
"Evelyn Briggs Baldwin"
"Jørgen Stubberud"
"Jean Raspail"
"Georgy Ushakov"
"Luigi D'Albertis"
"Orazio Antinori"
"Horace Tabor"
"Vladimir Rusanov"
"Nils Strindberg"
"Vasili Pronchishchev"
"Pierre-François Bouchard"
"Roman Ghirshman"
"Thomas Manning"
"Hippalus"
"Lars Christensen"
"John Balleny"
"Michael Martin"
"Mike Horn"
"Ferdynand Antoni Ossendowski"
"Yuri Senkevich"
"William John Wills"
"Salvador Fidalgo"
"Alexander Henry the elder"
"Nain Singh Rawat"
"Andreas Johan Sjögren"
"Pierre-Médard Diard"
"Eugène Maizan"
"William John Burchell"
"Fernão Lopes de Castanheda"
"Nikolai Zarudny"
"Joseph Billings"
"Martín Fernández de Enciso"
"Nikolai Yadrintsev"
"Hendrikus Albertus Lorentz"
"Richard Collinson"
"Peter Warburton"
"Károly Újfalvy von Mezőkövesd"
"John Lawson Stoddard"
"Ferdinand Columbus"
"Frederick Tuckett"
"William Loftus"
"Richard Archbold"
"Filippo Sassetti"
"William Lincoln Bakewell"
"Nuno da Cunha"
"William D’Arcy"
"Tommy Windich"
"Héder Viczay"
"Martín Ignacio de Loyola"
"Bernhard Eunom Philippi"
"George Everest"
"Richard Trevithick"
"Mungo Park"
"Matthew Flinders"
"Grímur Kamban"
"William Dampier"
"Frank Ludlow"
"Julius von Payer"
"Charles Green"
"William Lashly"
"Ernest Giles"
"Zuane Pizzigano"
"John Smith"
"Alexandra David-Néel"
"Gertrude Bell"
"Matteo Ricci"
"Junko Tabei"
"Oh Eun-Sun"
"Lady Mary Wortley Montagu"
"Mary Kingsley"
"Calamity Jane"
"Hiram Bingham III"
"Sacagawea"
"Riccoldo da Monte di Croce"
"Edme-François Jomard"
"Jakob Roggeveen"
"Hasekura Tsunenaga"
"Paul Amédée Ludovic Savatier"
"Fahrettin Çiloğlu"
"May French Sheldon"
"Maarten Gerritsz Vries"
"William Lawson"
"Álvar Núñez Cabeza de Vaca"
"James W. Marshall"
"Charles Preuss"
"Alexandrine Petronella Francisca Tinne"
"Frederick de Houtman"
"Alberto Maria De Agostini"
"Alexei Pavlovich Fedchenko"
"Evgeny Tarelkin"
"Ellen MacArthur"
"Inés Suárez"
"Robert J. Flaherty"
"Wiley Post"
"Jessica Watson"
"Roy Chapman Andrews"
"Michał Boym"
"Karl Edvard Laman"
"Ahmad ibn Rustah"
